CRIM,INDUS,RM,DIS,PTRATIO,LSTAT
0.00632,2.31,6.575,4.09,15.3,4.98
0.02731,7.07,6.421,4.9671,17.8,9.14
0.02729,7.07,7.185,4.9671,17.8,4.03
0.03237,2.18,6.998,6.0622,18.7,2.94
0.06905,2.18,7.147,6.0622,18.7,5.33
0.02985,2.18,6.43,6.0622,18.7,5.21
0.08829,7.87,6.012,5.5605,15.2,12.43
0.14455,7.87,6.172,5.9505,15.2,19.15
0.21124,7.87,5.631,6.0821,15.2,29.93
0.17004,7.87,6.004,6.5921,15.2,17.1
0.11747,7.87,6.009,6.2267,15.2,13.27
0.09378,7.87,5.889,5.4509,15.2,15.71
0.62976,8.14,5.949,4.7075,21,8.26
0.63796,8.14,6.096,4.4619,21,10.26
0.62739,8.14,5.834,4.4986,21,8.47
1.05393,8.14,5.935,4.4986,21,6.58
0.7842,8.14,5.99,4.2579,21,14.67
0.80271,8.14,5.456,3.7965,21,11.69
0.7258,8.14,5.727,3.7965,21,11.28
1.25179,8.14,5.57,3.7979,21,21.02
0.85204,8.14,5.965,4.0123,21,13.83
1.23247,8.14,6.142,3.9769,21,18.72
0.98843,8.14,5.813,4.0952,21,19.88
0.75026,8.14,5.924,4.3996,21,16.3
0.84054,8.14,5.599,4.4546,21,16.51
0.67191,8.14,5.813,4.682,21,14.81
0.95577,8.14,6.047,4.4534,21,17.28
0.77299,8.14,6.495,4.4547,21,12.8
1.00245,8.14,6.674,4.239,21,11.98
1.13081,8.14,5.713,4.233,21,22.6
1.35472,8.14,6.072,4.175,21,13.04
1.38799,8.14,5.95,3.99,21,27.71
1.15172,8.14,5.701,3.7872,21,18.35
1.61282,8.14,6.096,3.7598,21,20.34
0.09744,5.96,5.841,3.3779,19.2,11.41
0.08014,5.96,5.85,3.9342,19.2,8.77
0.17505,5.96,5.966,3.8473,19.2,10.13
0.02763,2.95,6.595,5.4011,18.3,4.32
0.03359,2.95,7.024,5.4011,18.3,1.98
0.12744,6.91,6.77,5.7209,17.9,4.84
0.1415,6.91,6.169,5.7209,17.9,5.81
0.15936,6.91,6.211,5.7209,17.9,7.44
0.12269,6.91,6.069,5.7209,17.9,9.55
0.17142,6.91,5.682,5.1004,17.9,10.21
0.18836,6.91,5.786,5.1004,17.9,14.15
0.22927,6.91,6.03,5.6894,17.9,18.8
0.25387,6.91,5.399,5.87,17.9,30.81
0.21977,6.91,5.602,6.0877,17.9,16.2
0.08873,5.64,5.963,6.8147,16.8,13.45
0.04337,5.64,6.115,6.8147,16.8,9.43
0.0536,5.64,6.511,6.8147,16.8,5.28
0.04981,5.64,5.998,6.8147,16.8,8.43
0.0136,4,5.888,7.3197,21.1,14.8
0.01311,1.22,7.249,8.6966,17.9,4.81
0.02055,0.74,6.383,9.1876,17.3,5.77
0.01432,1.32,6.816,8.3248,15.1,3.95
0.15445,5.13,6.145,7.8148,19.7,6.86
0.10328,5.13,5.927,6.932,19.7,9.22
0.14932,5.13,5.741,7.2254,19.7,13.15
0.17171,5.13,5.966,6.8185,19.7,14.44
0.11027,5.13,6.456,7.2255,19.7,6.73
0.01951,1.38,7.104,9.2229,18.6,8.05
0.03584,3.37,6.29,6.6115,16.1,4.67
0.04379,3.37,5.787,6.6115,16.1,10.24
0.05789,6.07,5.878,6.498,18.9,8.1
0.13554,6.07,5.594,6.498,18.9,13.09
0.12816,6.07,5.885,6.498,18.9,8.79
0.08826,10.81,6.417,5.2873,19.2,6.72
0.15876,10.81,5.961,5.2873,19.2,9.88
0.09164,10.81,6.065,5.2873,19.2,5.52
0.19539,10.81,6.245,5.2873,19.2,7.54
0.07896,12.83,6.273,4.2515,18.7,6.78
0.09512,12.83,6.286,4.5026,18.7,8.94
0.10153,12.83,6.279,4.0522,18.7,11.97
0.08707,12.83,6.14,4.0905,18.7,10.27
0.05646,12.83,6.232,5.0141,18.7,12.34
0.08387,12.83,5.874,4.5026,18.7,9.1
0.04113,4.86,6.727,5.4007,19,5.29
0.04462,4.86,6.619,5.4007,19,7.22
0.03659,4.86,6.302,5.4007,19,6.72
0.03551,4.86,6.167,5.4007,19,7.51
0.05059,4.49,6.389,4.7794,18.5,9.62
0.05735,4.49,6.63,4.4377,18.5,6.53
0.05188,4.49,6.015,4.4272,18.5,12.86
0.07151,4.49,6.121,3.7476,18.5,8.44
0.0566,3.41,7.007,3.4217,17.8,5.5
0.05302,3.41,7.079,3.4145,17.8,5.7
0.04684,3.41,6.417,3.0923,17.8,8.81
0.03932,3.41,6.405,3.0921,17.8,8.2
0.04203,15.04,6.442,3.6659,18.2,8.16
0.02875,15.04,6.211,3.6659,18.2,6.21
0.04294,15.04,6.249,3.615,18.2,10.59
0.12204,2.89,6.625,3.4952,18,6.65
0.12083,2.89,8.069,3.4952,18,4.21
0.08187,2.89,7.82,3.4952,18,3.57
0.0686,2.89,7.416,3.4952,18,6.19
0.14866,8.56,6.727,2.7778,20.9,9.42
0.11432,8.56,6.781,2.8561,20.9,7.67
0.22876,8.56,6.405,2.7147,20.9,10.63
0.21161,8.56,6.137,2.7147,20.9,13.44
0.1396,8.56,6.167,2.421,20.9,12.33
0.13262,8.56,5.851,2.1069,20.9,16.47
0.1712,8.56,5.836,2.211,20.9,18.66
0.13117,8.56,6.127,2.1224,20.9,14.09
0.12802,8.56,6.474,2.4329,20.9,12.27
0.26363,8.56,6.229,2.5451,20.9,15.55
0.10793,8.56,6.195,2.7778,20.9,13
0.10084,10.01,6.715,2.6775,17.8,10.16
0.12329,10.01,5.913,2.3534,17.8,16.21
0.22212,10.01,6.092,2.548,17.8,17.09
0.14231,10.01,6.254,2.2565,17.8,10.45
0.17134,10.01,5.928,2.4631,17.8,15.76
0.13158,10.01,6.176,2.7301,17.8,12.04
0.15098,10.01,6.021,2.7474,17.8,10.3
0.13058,10.01,5.872,2.4775,17.8,15.37
0.14476,10.01,5.731,2.7592,17.8,13.61
0.06899,25.65,5.87,2.2577,19.1,14.37
0.07165,25.65,6.004,2.1974,19.1,14.27
0.09299,25.65,5.961,2.0869,19.1,17.93
0.15038,25.65,5.856,1.9444,19.1,25.41
0.09849,25.65,5.879,2.0063,19.1,17.58
0.16902,25.65,5.986,1.9929,19.1,14.81
0.38735,25.65,5.613,1.7572,19.1,27.26
0.25915,21.89,5.693,1.7883,21.2,17.19
0.32543,21.89,6.431,1.8125,21.2,15.39
0.88125,21.89,5.637,1.9799,21.2,18.34
0.34006,21.89,6.458,2.1185,21.2,12.6
1.19294,21.89,6.326,2.271,21.2,12.26
0.59005,21.89,6.372,2.3274,21.2,11.12
0.32982,21.89,5.822,2.4699,21.2,15.03
0.97617,21.89,5.757,2.346,21.2,17.31
0.32264,21.89,5.942,1.9669,21.2,16.9
0.35233,21.89,6.454,1.8498,21.2,14.59
0.2498,21.89,5.857,1.6686,21.2,21.32
0.54452,21.89,6.151,1.6687,21.2,18.46
0.2909,21.89,6.174,1.6119,21.2,24.16
1.62864,21.89,5.019,1.4394,21.2,34.41
3.32105,19.58,5.403,1.3216,14.7,26.82
4.0974,19.58,5.468,1.4118,14.7,26.42
2.77974,19.58,4.903,1.3459,14.7,29.29
2.37934,19.58,6.13,1.4191,14.7,27.8
2.15505,19.58,5.628,1.5166,14.7,16.65
2.36862,19.58,4.926,1.4608,14.7,29.53
2.33099,19.58,5.186,1.5296,14.7,28.32
2.73397,19.58,5.597,1.5257,14.7,21.45
1.6566,19.58,6.122,1.618,14.7,14.1
1.49632,19.58,5.404,1.5916,14.7,13.28
1.12658,19.58,5.012,1.6102,14.7,12.12
2.14918,19.58,5.709,1.6232,14.7,15.79
1.41385,19.58,6.129,1.7494,14.7,15.12
3.53501,19.58,6.152,1.7455,14.7,15.02
2.44668,19.58,5.272,1.7364,14.7,16.14
1.22358,19.58,6.943,1.8773,14.7,4.59
1.34284,19.58,6.066,1.7573,14.7,6.43
1.42502,19.58,6.51,1.7659,14.7,7.39
1.27346,19.58,6.25,1.7984,14.7,5.5
1.46336,19.58,7.489,1.9709,14.7,1.73
1.83377,19.58,7.802,2.0407,14.7,1.92
1.51902,19.58,8.375,2.162,14.7,3.32
2.24236,19.58,5.854,2.422,14.7,11.64
2.924,19.58,6.101,2.2834,14.7,9.81
2.01019,19.58,7.929,2.0459,14.7,3.7
1.80028,19.58,5.877,2.4259,14.7,12.14
2.3004,19.58,6.319,2.1,14.7,11.1
2.44953,19.58,6.402,2.2625,14.7,11.32
1.20742,19.58,5.875,2.4259,14.7,14.43
2.3139,19.58,5.88,2.3887,14.7,12.03
0.13914,4.05,5.572,2.5961,16.6,14.69
0.09178,4.05,6.416,2.6463,16.6,9.04
0.08447,4.05,5.859,2.7019,16.6,9.64
0.06664,4.05,6.546,3.1323,16.6,5.33
0.07022,4.05,6.02,3.5549,16.6,10.11
0.05425,4.05,6.315,3.3175,16.6,6.29
0.06642,4.05,6.86,2.9153,16.6,6.92
0.0578,2.46,6.98,2.829,17.8,5.04
0.06588,2.46,7.765,2.741,17.8,7.56
0.06888,2.46,6.144,2.5979,17.8,9.45
0.09103,2.46,7.155,2.7006,17.8,4.82
0.10008,2.46,6.563,2.847,17.8,5.68
0.08308,2.46,5.604,2.9879,17.8,13.98
0.06047,2.46,6.153,3.2797,17.8,13.15
0.05602,2.46,7.831,3.1992,17.8,4.45
0.07875,3.44,6.782,3.7886,15.2,6.68
0.12579,3.44,6.556,4.5667,15.2,4.56
0.0837,3.44,7.185,4.5667,15.2,5.39
0.09068,3.44,6.951,6.4798,15.2,5.1
0.06911,3.44,6.739,6.4798,15.2,4.69
0.08664,3.44,7.178,6.4798,15.2,2.87
0.02187,2.93,6.8,6.2196,15.6,5.03
0.01439,2.93,6.604,6.2196,15.6,4.38
0.01381,0.46,7.875,5.6484,14.4,2.97
0.04011,1.52,7.287,7.309,12.6,4.08
0.04666,1.52,7.107,7.309,12.6,8.61
0.03768,1.52,7.274,7.309,12.6,6.62
0.0315,1.47,6.975,7.6534,17,4.56
0.01778,1.47,7.135,7.6534,17,4.45
0.03445,2.03,6.162,6.27,14.7,7.43
0.02177,2.03,7.61,6.27,14.7,3.11
0.0351,2.68,7.853,5.118,14.7,3.81
0.02009,2.68,8.034,5.118,14.7,2.88
0.13642,10.59,5.891,3.9454,18.6,10.87
0.22969,10.59,6.326,4.3549,18.6,10.97
